,Name,Type,Breed,Color,Sex,Size,Animal ID,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Intake Condition,Intake Jurisdiction,PredomBreed,PredomColor,DOB,IntakeDate,IntakeAge,IntakeAgeYrs
5350,JAKE,DOG,PARSON RUSS TER,TRICOLOR,Neutered,SMALL,A290268,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,PARSON RUSS TER,TRICOLOR,2003-05-02,2016-08-04,4843 days 00:00:00.000000000,13.27
5351,MAX,DOG,BOXER/MIX,BROWN/WHITE,Neutered,MED,A323852,1,STRAY,FIELD,RETURN TO OWNER,TREATABLE/MANAGEABLE,SANTA ROSA,BOXER,BROWN,2003-12-15,2015-06-30,4215 days 00:00:00.000000000,11.55
5352,,DOG,GREAT DANE,BLACK/WHITE,Female,LARGE,A375579,8,STRAY,OVER THE COUNTER,TRANSFER,TREATABLE/REHAB,WINDSOR,OTHER,BLACK,2017-10-24,2018-08-24,304 days 00:00:00.000000000,0.83
5353,MARME,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,A301591,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,ORANGE,2009-01-16,2014-01-15,1825 days 00:00:00.000000000,5.0
5354,*RUSTY,DOG,MIN PINSCHER/MIX,BROWN/TAN,Neutered,SMALL,A311640,22,TRANSFER,VET_HOSP,TRANSFER,HEALTHY,SANTA ROSA,MIN PINSCHER,BROWN,2013-09-25,2014-09-16,356 days 00:00:00.000000000,0.98
5355,,OTHER,CHICKEN,RED,Male,SMALL,A328647,0,STRAY,FIELD,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,CHICKEN,RED,,2015-10-20,,-1.0
5356,*SPANKY,DOG,PARSON RUSS TER/MIX,WHITE/BROWN,Male,SMALL,A350397,27,STRAY,FIELD,TRANSFER,HEALTHY,SANTA ROSA,PARSON RUSS TER,WHITE,2016-06-27,2017-04-01,278 days 00:00:00.000000000,0.76
5357,*HANNAH,DOG,AUST CATTLE DOG/MIX,BROWN,Spayed,LARGE,A340637,54,STRAY,OVER THE COUNTER,TRANSFER,TREATABLE/MANAGEABLE,COUNTY,AUST CATTLE DOG,BROWN,2005-08-19,2016-08-06,4005 days 00:00:00.000000000,10.97
5358,*BUDDY,OTHER,PARAKEET,YELLOW/GREEN,Male,SMALL,A376183,14,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PARAKEET,YELLOW,,2018-09-18,,-1.0
5359,*ILSA,CAT,DOMESTIC SH,BLK TABBY/WHITE,Spayed,KITTN,A337164,2,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,BLACK,2016-03-23,2016-05-18,56 days 00:00:00.000000000,0.15
5360,MILO,DOG,PIT BULL,TAN,Neutered,PUPPY,A346940,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,SANTA ROSA,PIT BULL,TAN,2016-10-05,2017-01-05,92 days 00:00:00.000000000,0.25
5361,DARLENE,CAT,DOMESTIC SH,CALICO/WHITE,Spayed,KITTN,A313127,22,TRANSFER,VET_HOSP,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,CALICO,2014-09-05,2014-10-27,52 days 00:00:00.000000000,0.14
5362,ROXY,DOG,LABRADOR RETR/MIX,BROWN/WHITE,Spayed,LARGE,A371311,5,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,SANTA ROSA,LABRADOR RETR,BROWN,2010-04-30,2018-04-30,2922 days 00:00:00.000000000,8.01
5363,TYSON,DOG,PIT BULL/MIX,BLACK/WHITE,Neutered,MED,A379607,26,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,UNKNOWN,COUNTY,PIT BULL,BLACK,2016-11-09,2018-11-09,730 days 00:00:00.000000000,2.0
5364,NAPOLEON,DOG,DACHSHUND/MIX,BROWN/WHITE,Neutered,SMALL,A308227,1,TRANSFER,VET_HOSP,RETURN TO OWNER,HEALTHY,SANTA ROSA,DACHSHUND,BROWN,2007-06-24,2014-06-23,2556 days 00:00:00.000000000,7.0
5365,*GILBERT,DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,MED,A381298,33,STRAY,FIELD,TRANSFER,HEALTHY,WINDSOR,PIT BULL,BROWN,2016-12-11,2018-11-30,719 days 00:00:00.000000000,1.97
5366,SALLY,OTHER,HORSE,BROWN/WHITE,Female,X-LRG,A331492,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,HORSE,BROWN,1992-01-02,2016-01-02,8766 days 00:00:00.000000000,24.02
5367,,DOG,BOSTON TERRIER,BL BRINDLE/WHITE,Spayed,SMALL,A319419,12,STRAY,OVER THE COUNTER,TRANSFER,HEALTHY,SANTA ROSA,BOSTON TERRIER,BLACK,2002-04-03,2015-03-26,4740 days 00:00:00.000000000,12.99
5368,,CAT,DOMESTIC MH,GRAY,Male,KITTN,A375892,1,OWNER SURRENDER,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC MH,GRAY,2018-07-08,2018-09-07,61 days 00:00:00.000000000,0.17
5369,*LAYLA,DOG,PIT BULL,WHITE/BR BRINDLE,Spayed,PUPPY,A335480,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,WHITE,2016-02-02,2016-04-12,70 days 00:00:00.000000000,0.19
5370,*IVY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,A369397,62,STRAY,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,CALICO,2016-03-14,2018-03-14,730 days 00:00:00.000000000,2.0
5371,*KARL,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A373171,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,GRAY,2018-04-16,2018-06-15,60 days 00:00:00.000000000,0.16
5372,DUKE,DOG,CHIHUAHUA SH/DACHSHUND,TAN/WHITE,Spayed,TOY,A284403,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,TREATABLE/MANAGEABLE,SANTA ROSA,CHIHUAHUA,TAN,2010-11-02,2017-07-10,2442 days 00:00:00.000000000,6.69
5373,PARIS,DOG,SCOT TERRIER,WHITE/WHITE,Female,SMALL,A307794,0,STRAY,FIELD,RETURN TO OWNER,TREATABLE/MANAGEABLE,COUNTY,OTHER,WHITE,2004-06-10,2014-06-10,3652 days 00:00:00.000000000,10.01
5374,LOU,DOG,PIT BULL,BR BRINDLE,Male,MED,A353511,1,CONFISCATE,FLD_CRUEL,RETURN TO OWNER,HEALTHY,SANTA ROSA,PIT BULL,BROWN,2015-12-03,2017-06-02,547 days 00:00:00.000000000,1.5
5375,SAM,DOG,WELSH CORGI PEM,TRICOLOR,Male,MED,A223432,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,TRICOLOR,2008-04-29,2016-12-19,3156 days 00:00:00.000000000,8.65
5376,,CAT,DOMESTIC MH,GRAY TABBY/WHITE,Unknown,SMALL,A336975,6,STRAY,COMM CAT,TRANSFER,TREATABLE/MANAGEABLE,COUNTY,DOMESTIC MH,GRAY,,2016-05-11,,-1.0
5377,BLUE,DOG,LABRADOR RETR,CHOCOLATE,Male,LARGE,A211689,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,LABRADOR RETR,CHOCOLATE,2007-07-15,2016-06-09,3252 days 00:00:00.000000000,8.91
5378,BERNARD,DOG,PIT BULL,BR BRINDLE,Neutered,LARGE,A348019,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,WINDSOR,PIT BULL,BROWN,,2017-02-07,,-1.0
5379,*ALICE,OTHER,RABBIT SH,BLACK/WHITE,Spayed,SMALL,A308847,30,TRANSFER,VET_HOSP,TRANSFER,HEALTHY,SANTA ROSA,RABBIT,BLACK,2013-07-17,2014-07-08,356 days 00:00:00.000000000,0.98
5380,DENALI,DOG,RHOD RIDGEBACK/BOXER,BROWN/WHITE,Spayed,MED,A334349,95,STRAY,FIELD,ADOPTION,HEALTHY,SANTA ROSA,OTHER,BROWN,2015-06-29,2016-03-15,260 days 00:00:00.000000000,0.71
5381,AIKO,DOG,MALTESE/POODLE MIN,WHITE,Neutered,SMALL,A373587,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,UNKNOWN,COUNTY,MALTESE,WHITE,2013-11-09,2018-06-05,1669 days 00:00:00.000000000,4.57
5382,MIA,DOG,AUST CATTLE DOG/MIX,BLACK/BROWN,Spayed,MED,A323944,5,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,SANTA ROSA,AUST CATTLE DOG,BLACK,,2015-07-02,,-1.0
5383,SUZIE,DOG,BORDER TERRIER/MIX,TAN,Spayed,SMALL,A345938,21,STRAY,FIELD,ADOPTION,HEALTHY,COUNTY,OTHER,TAN,2015-12-07,2016-12-07,366 days 00:00:00.000000000,1.0
5384,YANKEE,DOG,GERM SHEPHERD,BLACK,Neutered,LARGE,A307384,3,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,GERM SHEPHERD,BLACK,2013-10-30,2019-01-05,1893 days 00:00:00.000000000,5.19
5385,BUTTERCUP,DOG,PARSON RUSS TER/MIX,BROWN/WHITE,Spayed,SMALL,A326715,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,WINDSOR,PARSON RUSS TER,BROWN,2015-02-20,2015-10-28,250 days 00:00:00.000000000,0.68
5386,ELMO,CAT,DOMESTIC SH,BUFF/WHITE,Neutered,KITTN,A338703,8,STRAY,COMM CAT,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,BUFF,2016-04-22,2016-06-24,63 days 00:00:00.000000000,0.17
5387,TIGER,CAT,DOMESTIC SH,GRAY TABBY,Male,SMALL,A362546,23,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,DOMESTIC SH,GRAY,2017-05-26,2017-10-12,139 days 00:00:00.000000000,0.38
5388,LULU BELLE,DOG,LABRADOR RETR/MIX,BLACK/BLACK,Female,MED,A343019,11,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,WINDSOR,LABRADOR RETR,BLACK,,2016-09-30,,-1.0
5389,,OTHER,GOAT,BLACK/WHITE,Female,LARGE,A307312,2,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,GOAT,BLACK,2012-05-28,2014-05-28,730 days 00:00:00.000000000,2.0
5390,KALI,DOG,PIT BULL,BROWN/WHITE,Female,MED,A342024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,PIT BULL,BROWN,,2016-09-21,,-1.0
5391,*BERT,CAT,DOMESTIC LH,BLACK,Neutered,SMALL,A302600,24,STRAY,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,COUNTY,DOMESTIC LH,BLACK,2013-02-11,2014-02-11,365 days 00:00:00.000000000,1.0
5392,SENOR SMOOCH,DOG,POMERANIAN/PUG,CREAM,Neutered,SMALL,A317034,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,POMERANIAN,CREAM,2011-02-24,2015-02-23,1460 days 00:00:00.000000000,4.0
5393,DOZER,DOG,PIT BULL/MIX,BROWN,Neutered,LARGE,A286294,7,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,PIT BULL,BROWN,2009-12-18,2014-02-06,1511 days 00:00:00.000000000,4.14
5394,RICKY,DOG,SILKY TERRIER,BROWN/BLACK,Neutered,SMALL,A315531,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,BROWN,2001-07-07,2015-01-06,4931 days 00:00:00.000000000,13.51
5395,BO,DOG,GREAT PYRENEES,WHITE,Male,LARGE,A301634,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,GREAT PYRENEES,WHITE,2011-07-16,2014-01-16,915 days 00:00:00.000000000,2.51
5396,BUCK,DOG,AUST CATTLE DOG,WHITE/RED MERLE,Male,MED,A332534,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,SANTA ROSA,AUST CATTLE DOG,WHITE,,2016-01-29,,-1.0
5397,*ROSCOE,DOG,BORDER COLLIE/CATAHOULA,BLACK,Neutered,PUPPY,A309328,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,BORDER COLLIE,BLACK,2014-04-24,2014-07-24,91 days 00:00:00.000000000,0.25
5398,MURPHY,DOG,PIT BULL,BLACK/WHITE,Spayed,MED,A310734,3,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,PIT BULL,BLACK,2012-08-28,2014-08-27,729 days 00:00:00.000000000,2.0
5399,COPPER,DOG,AUST CATTLE DOG,RED/WHITE,Neutered,MED,A299387,22,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,TREATABLE/MANAGEABLE,WINDSOR,AUST CATTLE DOG,RED,2006-11-12,2014-09-12,2861 days 00:00:00.000000000,7.84
5400,BUZZ,DOG,PIT BULL/MIX,BROWN,Neutered,MED,A226017,0,STRAY,FIELD,RETURN TO OWNER,TREATABLE/REHAB,SANTA ROSA,PIT BULL,BROWN,2007-09-19,2017-09-19,3653 days 00:00:00.000000000,10.01
5401,SNICKERS,DOG,MIN PINSCHER,RED,Neutered,TOY,A282877,4,STRAY,FIELD,RETURN TO OWNER,TREATABLE/MANAGEABLE,SANTA ROSA,MIN PINSCHER,RED,2011-10-01,2017-04-15,2023 days 00:00:00.000000000,5.54
5402,ANGEL,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,A308853,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,BLACK,2014-03-08,2014-07-08,122 days 00:00:00.000000000,0.33
5403,RAGNAR,DOG,GERM SHEPHERD/MIX,TAN/BLACK,Neutered,LARGE,A349808,17,STRAY,FIELD,ADOPTION,TREATABLE/REHAB,SANTA ROSA,GERM SHEPHERD,TAN,2015-10-01,2017-03-22,538 days 00:00:00.000000000,1.47
5404,ADMIRAL,DOG,CHINESE SHARPEI/MIX,BLACK/TAN,Male,LARGE,A372600,6,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,BLACK,,2018-05-16,,-1.0
5405,,CAT,DOMESTIC SH,BRN TABBY,Unknown,KITTN,A308379,5,STRAY,COMM CAT,TRANSFER,HEALTHY,COUNTY,DOMESTIC SH,BROWN,2014-04-30,2014-06-26,57 days 00:00:00.000000000,0.16
5406,*REECE,CAT,DOMESTIC SH,WHITE,Neutered,SMALL,A364895,50,STRAY,FIELD,ADOPTION,TREATABLE/MANAGEABLE,SANTA ROSA,DOMESTIC SH,WHITE,2012-12-11,2017-11-24,1809 days 00:00:00.000000000,4.96
5407,QUINN,DOG,ROTTWEILER,BLACK/TAN,Spayed,MED,A323978,3,STRAY,FIELD,RETURN TO OWNER,TREATABLE/REHAB,COUNTY,ROTTWEILER,BLACK,2015-03-04,2015-07-04,122 days 00:00:00.000000000,0.33
5408,ROSCOE,DOG,FOX TERR SMOOTH/MIX,BROWN,Neutered,SMALL,A301252,1,TRANSFER,PRIV_SHELT,RETURN TO OWNER,HEALTHY,SANTA ROSA,FOX TERRIER,BROWN,2004-04-09,2014-01-06,3559 days 00:00:00.000000000,9.75
5409,COAL,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,A093947,3,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,DOMESTIC SH,BLACK,2005-10-27,2017-10-11,4367 days 00:00:00.000000000,11.96
5410,LILY,DOG,GREAT PYRENEES/ANATOL SHEPHERD,WHITE,Spayed,LARGE,A353146,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,GREAT PYRENEES,WHITE,2013-09-01,2017-05-20,1357 days 00:00:00.000000000,3.72
5411,PROFFESSOR,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,A356577,5,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,SANTA ROSA,DOMESTIC SH,GRAY,,2017-08-07,,-1.0
5412,BIGGIE,DOG,PIT BULL/MIX,TAN,Male,MED,A311981,3,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,SANTA ROSA,PIT BULL,TAN,2014-05-24,2014-09-23,122 days 00:00:00.000000000,0.33
5413,*TYSON,DOG,PIT BULL,BROWN,Neutered,LARGE,A302098,221,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,BROWN,2011-01-28,2014-01-28,1096 days 00:00:00.000000000,3.0
5414,OSO,DOG,CHIHUAHUA SH/MIX,TAN,Neutered,SMALL,A306025,9,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,CHIHUAHUA,TAN,2013-05-20,2019-03-10,2120 days 00:00:00.000000000,5.81
5415,SCOOTER,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,A332315,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,COUNTY,DOMESTIC SH,BROWN,2015-07-22,2017-11-08,840 days 00:00:00.000000000,2.3
5416,,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,A342612,6,STRAY,COMM CAT,RETURN TO OWNER,HEALTHY,COUNTY,DOMESTIC SH,BROWN,2016-04-28,2016-09-22,147 days 00:00:00.000000000,0.4
5417,*BEBE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A340218,78,STRAY,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,COUNTY,DOMESTIC SH,BROWN,2016-05-27,2016-07-29,63 days 00:00:00.000000000,0.17
5418,*AVERY,OTHER,RABBIT SH,WHITE,Neutered,SMALL,A304895,21,STRAY,OVER THE COUNTER,TRANSFER,HEALTHY,COUNTY,RABBIT,WHITE,2012-04-02,2014-04-02,730 days 00:00:00.000000000,2.0
5419,BOO,DOG,BORDER COLLIE/MIX,BLACK/BROWN,Neutered,LARGE,A362029,6,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,BORDER COLLIE,BLACK,2007-01-05,2018-01-05,4018 days 00:00:00.000000000,11.01
5420,BETTY,DOG,LABRADOR RETR,YELLOW,Spayed,MED,A305334,2,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,YELLOW,2011-09-15,2014-04-13,941 days 00:00:00.000000000,2.58
5421,AUDREY,CAT,DOMESTIC SH,ORANGE/WHITE,Spayed,SMALL,A326448,5,CONFISCATE,FLD_CRUEL,RETURN TO OWNER,HEALTHY,COUNTY,DOMESTIC SH,ORANGE,2007-09-01,2015-08-29,2919 days 00:00:00.000000000,8.0
5422,GIZMO,DOG,SHIH TZU/MIX,BROWN/WHITE,Neutered,TOY,A323871,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,SANTA ROSA,SHIH TZU,BROWN,2012-12-13,2015-07-01,930 days 00:00:00.000000000,2.55
5423,BOOMER,DOG,PIT BULL/MIX,BROWN,Spayed,PUPPY,A324630,8,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,HEALTHY,WINDSOR,PIT BULL,BROWN,2014-12-24,2015-08-21,240 days 00:00:00.000000000,0.66
5424,ONYX,DOG,AUST SHEPHERD/GERM SHEPHERD,BLACK,Neutered,MED,A355650,2,STRAY,FIELD,RETURN TO OWNER,HEALTHY,WINDSOR,AUST SHEPHERD,BLACK,2005-07-16,2017-07-16,4383 days 00:00:00.000000000,12.01
5425,,DOG,CHIHUAHUA SH,CREAM,Male,PUPPY,A379277,5,STRAY,BORN_HERE,TRANSFER,UNKNOWN,SANTA ROSA,CHIHUAHUA,CREAM,2018-11-01,2018-11-02,1 days 00:00:00.000000000,0.0
5426,*STRATHEE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A311005,24,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,BLACK,2014-06-15,2014-09-02,79 days 00:00:00.000000000,0.22
5427,CHOP,DOG,PIT BULL,BROWN/WHITE,Neutered,LARGE,A369133,110,CONFISCATE,FLD_ARREST,ADOPTION,TREATABLE/MANAGEABLE,SANTA ROSA,PIT BULL,BROWN,2016-03-22,2018-02-26,706 days 00:00:00.000000000,1.93
5428,*BEN,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A337049,6,TRANSFER,MUN_SHELT,ADOPTION,HEALTHY,OUT OF COUNTY,DOMESTIC SH,GRAY,2016-02-17,2016-05-13,86 days 00:00:00.000000000,0.24
5429,KENAI,DOG,SIBERIAN HUSKY,RED/WHITE,Male,LARGE,A308552,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,SIBERIAN HUSKY,RED,2013-07-28,2015-08-14,747 days 00:00:00.000000000,2.05
5430,OLIVE,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A323188,4,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,BROWN,2015-04-23,2015-06-23,61 days 00:00:00.000000000,0.17
5431,UELI,DOG,SIBERIAN HUSKY,WHITE/GRAY,Neutered,LARGE,A364841,7,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,COUNTY,SIBERIAN HUSKY,WHITE,2017-04-02,2017-11-21,233 days 00:00:00.000000000,0.64
5432,,OTHER,GOAT,TAN,Female,MED,A303032,1,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,GOAT,TAN,,2014-02-20,,-1.0
5433,HARLEY,DOG,BOXER,BROWN/WHITE,Neutered,MED,A307494,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,BOXER,BROWN,2013-02-01,2014-06-01,485 days 00:00:00.000000000,1.33
5434,SIMON,DOG,CHIHUAHUA SH,TAN,Neutered,TOY,A309116,49,STRAY,FIELD,ADOPTION,TREATABLE/REHAB,SANTA ROSA,CHIHUAHUA,TAN,2002-07-17,2014-07-16,4382 days 00:00:00.000000000,12.01
5435,*WALTER,DOG,BORDER COLLIE/MIX,WHITE/BLACK,Neutered,LARGE,A327026,16,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,BORDER COLLIE,WHITE,2014-03-16,2015-09-16,549 days 00:00:00.000000000,1.5
5436,GRACE,DOG,CAVALIER SPAN,RED/WHITE,Female,SMALL,A333899,1,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,OTHER,RED,2015-07-09,2016-03-08,243 days 00:00:00.000000000,0.67
5437,DAISY,DOG,SIBERIAN HUSKY,BLACK/WHITE,Spayed,LARGE,A266164,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,SIBERIAN HUSKY,BLACK,2011-01-28,2014-10-15,1356 days 00:00:00.000000000,3.72
5438,,CAT,DOMESTIC SH,BLK TABBY,Unknown,KITTN,A354257,0,STRAY,OVER THE COUNTER,TRANSFER,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,2017-06-01,2017-06-23,22 days 00:00:00.000000000,0.06
5439,EDGAR,DOG,CATAHOULA/ROTTWEILER,BLACK/BLUE MERLE,Neutered,MED,A302013,27,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,CATAHOULA,BLACK,2013-01-25,2014-01-25,365 days 00:00:00.000000000,1.0
5440,MIRANDA,DOG,POMERANIAN/MIX,BROWN,Spayed,SMALL,A330635,0,STRAY,VET_HOSP,RETURN TO OWNER,HEALTHY,SANTA ROSA,POMERANIAN,BROWN,,2015-12-10,,-1.0
5441,,OTHER,SHEEP,BLACK,Female,LARGE,A305156,0,STRAY,FIELD,TRANSFER,HEALTHY,COUNTY,SHEEP,BLACK,,2014-04-09,,-1.0
5442,TIBBY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,A362715,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,DOMESTIC SH,CALICO,2013-10-18,2017-10-18,1461 days 00:00:00.000000000,4.0
5443,,DOG,PIT BULL/MIX,BLACK,Female,PUPPY,A356703,0,STRAY,OVER THE COUNTER,TRANSFER,TREATABLE/REHAB,SANTA ROSA,PIT BULL,BLACK,2017-07-11,2017-08-11,31 days 00:00:00.000000000,0.08
5444,LOKI,DOG,LABRADOR RETR,YELLOW,Neutered,MED,A371816,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,YELLOW,2014-06-22,2019-01-19,1672 days 00:00:00.000000000,4.58
5445,*PICKLES,OTHER,LOP-HOLLAND,CALICO,Female,SMALL,A342517,24,STRAY,OVER THE COUNTER,TRANSFER,HEALTHY,WINDSOR,LOP,CALICO,,2016-09-20,,-1.0
5446,,DOG,BLACK/TAN HOUND/MIX,BLACK/TAN,Male,LARGE,A342305,2,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,BLACK,,2016-09-11,,-1.0
5447,,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Female,SMALL,A309462,11,STRAY,COMM CAT,TRANSFER,HEALTHY,COUNTY,DOMESTIC SH,GRAY,2012-07-26,2014-07-26,730 days 00:00:00.000000000,2.0
5448,YUKON,DOG,SIBERIAN HUSKY,BROWN/WHITE,Neutered,MED,A331669,47,STRAY,FIELD,ADOPTION,HEALTHY,COUNTY,SIBERIAN HUSKY,BROWN,2011-08-18,2016-07-16,1794 days 00:00:00.000000000,4.92
5449,,CAT,SNOWSHOE,SEAL PT,Unknown,KITTN,A322981,10,STRAY,COMM CAT,TRANSFER,HEALTHY,WINDSOR,OTHER,SEAL PT,,2015-06-16,,0.5
5451,MADISON,CAT,DOMESTIC MH,ORANGE,Neutered,SMALL,A313193,15,STRAY,FIELD,ADOPTION,TREATABLE/REHAB,SANTA ROSA,DOMESTIC MH,ORANGE,2014-05-13,2014-10-29,169 days 00:00:00.000000000,0.46
5452,,OTHER,DUTCH,BLACK/WHITE,Female,SMALL,A375617,10,STRAY,OVER THE COUNTER,TRANSFER,HEALTHY,COUNTY,OTHER,BLACK,,2018-09-04,,-1.0
5453,JUNIOR,DOG,SCHNAUZER MIN,GRAY,Neutered,SMALL,A348027,10,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,SCHNAUZER,GRAY,2013-03-19,2017-02-07,1421 days 00:00:00.000000000,3.89
5454,PENNY,DOG,AUST CATTLE DOG,TAN/WHITE,Spayed,MED,A373002,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,WINDSOR,AUST CATTLE DOG,TAN,,2018-05-29,,-1.0
5455,NALA,DOG,PIT BULL,TAN/WHITE,Spayed,LARGE,A314094,12,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,PIT BULL,TAN,2012-12-03,2014-11-22,719 days 00:00:00.000000000,1.97
5456,MARLEY,DOG,LABRADOR RETR/MIX,YELLOW,Female,MED,A370943,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,COUNTY,LABRADOR RETR,YELLOW,,2018-04-18,,-1.0
5457,PENNY,DOG,BORDER COLLIE,BLACK/WHITE,Female,MED,A333268,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,BORDER COLLIE,BLACK,2015-02-23,2016-02-23,365 days 00:00:00.000000000,1.0
5458,,OTHER,BAT,BROWN,Unknown,SMALL,A328688,1,QUARANTINE,FLD_STRAY,TRANSFER,UNTREATABLE,*PETALUMA,BAT,BROWN,,2015-10-20,,-1.0
