Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
,DOG,CHIHUAHUA SH,WHITE,Female,SMALL,06/24/2011,K17-024100,DA31,A354261,06/23/2017,07/06/2017,13,STRAY,OVER THE COUNTER,TRANSFER,GREEN DOG,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
*ALISA,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,05/02/2015,K15-014713,LOBBY,A323921,07/02/2015,07/11/2015,9,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1,26075
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,KITTN,,K19-031177,CS06,A383462,01/12/2019,01/15/2019,3,STRAY,COMM CAT,TRANSFER,FORGOTTEN,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
*TUX,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/09/2014,K14-008786,WESTFARM,A306430,05/09/2014,06/27/2014,49,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
*LETITIA,CAT,DOMESTIC SH,BLK TABBY/TORTIE,Spayed,SMALL,03/23/2014,K14-012107,LOBBY,A314955,12/16/2014,12/26/2014,10,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95465,"95465(38.406591, -123.001365)",1,31032
*DELILAH,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,11/19/2014,K16-021631,DA38,A345566,11/19/2016,12/09/2016,20,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1,26075
MARK,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,04/13/2017,K17-025306,WESTFARM,A360890,09/13/2017,09/19/2017,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
LITTLE,DOG,PARSON RUSS TER/BOSTON TERRIER,BROWN/WHITE,Spayed,SMALL,03/21/2014,K15-013187,DA45,A318095,03/17/2015,03/31/2015,14,CONFISCATE,FLD_ARREST,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95449,"95449(38.945732, -123.090079)",1,31017
*JANET,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,04/09/2014,K14-008924,LOBBY,A307034,05/21/2014,06/13/2014,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,WINDSOR,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1,26080
*CALLIE,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,06/18/2017,K17-025121,LOBBY,A360504,08/31/2017,09/20/2017,20,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,WINDSOR,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1,23501
BEANIE,DOG,POODLE MIN/WEST HIGHLAND,WHITE,Neutered,MED,03/05/2016,K18-028009,DA02,A341372,04/25/2018,05/05/2018,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
MOLLY,DOG,LABRADOR RETR,BLACK,Spayed,LARGE,08/31/2008,K18-029690,DI101,A375704,08/31/2018,09/21/2018,21,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94801,"94801(37.946213, -122.371708)",1,1504
DAISY,DOG,PIT BULL,GRAY,Spayed,LARGE,11/15/2013,K15-016292,DS89,A313808,10/07/2015,10/08/2015,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1,26079
PONCHA,DOG,CAIRN TERRIER/MIX,WHITE/TAN,Spayed,SMALL,03/10/2011,K18-027486,DA44,A261976,03/08/2018,04/06/2018,29,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1,26079
DASH,DOG,POINTER/MIX,WHITE/BLACK,Neutered,MED,09/26/2016,K18-027571,DA38,A369422,03/16/2018,04/06/2018,21,STRAY,OVER THE COUNTER,ADOPTION,FB SCAS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.446019, -122.766748)",1,26075
,OTHER,RAT,BLACK/WHITE,Unknown,SMALL,,K18-027978,CI02,A371168,04/24/2018,04/28/2018,4,STRAY,OVER THE COUNTER,TRANSFER,RATTIE RAT,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,94517,"94517(37.911752, -121.909739)",1,576
JULIET,DOG,POODLE TOY/MIX,WHITE/CREAM,Spayed,TOY,05/06/2010,K15-016510,RECEIVING,A250478,10/22/2015,01/02/2016,72,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,WINDSOR,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1,23501
LITTLEFOOT II,OTHER,PARROT,GRAY,Unknown,SMALL,,K16-019936,LOBBY,A340085,07/25/2016,08/11/2016,17,STRAY,VET_HOSP,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,OUT OF COUNTY,94939,"94939(37.937811, -122.532324)",1,1836
OREO,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,10/14/2010,K15-016376,CS04,A328281,10/14/2015,11/03/2015,20,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1,26080
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K16-020572,CS06,A341853,09/01/2016,09/06/2016,5,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
LEA,DOG,PIT BULL,TAN/WHITE,Female,MED,04/11/2009,K19-031917,DS57,A386133,04/11/2019,04/25/2019,14,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,WHITE/BRN TABBY,Spayed,SMALL,,K14-010365,CS06,A310328,08/19/2014,08/22/2014,3,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
CAPONE,DOG,PIT BULL,BLUE,Neutered,LARGE,08/17/2007,K14-008090,DS72,A301710,03/16/2014,03/19/2014,3,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954,"94954(38.245316, -122.59871)",1,11139
BELLA,DOG,POODLE MIN/MIX,WHITE,Spayed,SMALL,03/10/2016,K17-026849,DS91,A366523,12/29/2017,12/30/2017,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1,26079
*STEVE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,04/11/2014,K14-009260,LOBBY,A307890,06/11/2014,07/05/2014,24,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
*CASH,DOG,FOX TERR SMOOTH/BEAGLE,WHITE/BROWN,Neutered,SMALL,05/31/2016,K17-023566,DA03,A353126,05/19/2017,06/02/2017,14,STRAY,PHONE,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95436,"95436(38.491884, -122.90672)",1,23747
*GOMEZ,OTHER,PARAKEET,GREEN,Male,SMALL,,K17-025732,LOBBY,A362520,10/12/2017,11/22/2017,41,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1,26080
*BROCK,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,05/13/2017,K17-024374,LOBBY,A355217,07/13/2017,08/03/2017,21,STRAY,FIELD,ADOPTION,REFERRAL-O,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1,1829
PHOEBE,DOG,LABRADOR RETR/MIX,BLACK,Spayed,MED,09/17/2009,K14-007243,DA28,A254278,01/03/2014,02/01/2014,29,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,WINDSOR,COUNTY,95409,"95409(38.458965, -122.630156)",1,26080
*MOLLY,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,08/23/2015,K16-018590,CS04,A336019,04/23/2016,05/05/2016,12,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
HASHBROWN,DOG,LABRADOR RETR,BROWN,Male,LARGE,08/05/2013,K17-024732,DS76,A356560,08/05/2017,08/08/2017,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,HEALTHY,COUNTY,COUNTY,95436,"95436(38.491884, -122.90672)",1,23747
*TWIGGY,CAT,DOMESTIC MH,BLUE CREAM/TORTIE,Spayed,KITTN,07/31/2017,K17-025122,TX,A360505,08/31/2017,11/18/2017,79,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-O,TREATABLE/REHAB,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
SAMMY,DOG,POODLE MIN,TAN,Neutered,SMALL,07/17/2013,K14-009840,DA38,A309143,07/17/2014,08/01/2014,15,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1,31039
,CAT,DOMESTIC SH,BLACK,Male,KITTN,,K15-013874,CI01,A321459,05/08/2015,05/08/2015,0,STRAY,OVER THE COUNTER,TRANSFER,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1,26079
BRUNO,DOG,CHIHUAHUA SH,BROWN,Neutered,SMALL,04/01/2013,K17-025045,MOBILE,A350391,08/26/2017,09/16/2017,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,MOB EVENT,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94538,"94538(37.521278, -121.967986)",1,591
PETER,OTHER,LOP-HOLLAND,CALICO,Neutered,SMALL,01/06/2013,K14-012275,CA01,A315401,12/31/2014,01/20/2015,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1,26080
OSO,DOG,SIBERIAN HUSKY,BLACK/WHITE,Male,MED,10/30/2016,K18-027107,DA19,A367828,01/29/2018,01/30/2018,1,STRAY,VET_HOSP,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,94544,"94544(37.634142, -122.064979)",1,868
POSEY,CAT,DOMESTIC LH,BRN TABBY/WHITE,Neutered,SMALL,12/05/2012,K15-017023,CS04,A330256,12/05/2015,12/19/2015,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1,1829
*ANGEL,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,06/02/2017,K17-026158,CA02,A363826,11/02/2017,11/17/2017,15,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
,DOG,GERM SHEPHERD/MIX,BROWN,Female,LARGE,,K19-031978,DS61,A386281,04/18/2019,,0,STRAY,OVER THE COUNTER,,,UNKNOWN,,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,03/11/2014,K14-010755,CS06,A311500,09/11/2014,09/19/2014,8,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
ROCCO,DOG,AM PIT BULL TER,GRAY/WHITE,Neutered,MED,05/05/2017,K18-027044,DA05,A361259,01/19/2018,03/07/2018,47,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1,1829
QUAKE,DOG,PARSON RUSS TER/MIX,WHITE/BLACK,Neutered,SMALL,11/09/2010,K15-016124,TRUCK,A262039,09/25/2015,09/25/2015,0,STRAY,FIELD,RETURN TO OWNER,FLD_NBR,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1,26079
WHITNEY,DOG,AKITA/LABRADOR RETR,WHITE,Spayed,LARGE,06/06/2013,K14-009729,DA37,A305734,07/09/2014,08/09/2014,31,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95445,"95445(38.829858, -123.528149)",1,23754
*BRUNO,DOG,PIT BULL/MIX,TAN/WHITE,Neutered,MED,01/02/2015,K17-026669,DA07,A365512,12/14/2017,01/10/2018,27,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
*OLAF,CAT,SIAMESE/MIX,LILAC PT/WHITE,Neutered,SMALL,06/07/2017,K17-026784,LOBBY,A365361,12/23/2017,12/23/2017,0,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1,26079
,OTHER,GUINEA PIG,BLACK,Female,SMALL,,K16-020201,CS06,A340679,08/09/2016,08/23/2016,14,STRAY,OVER THE COUNTER,TRANSFER,HSSC,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1,26079
,OTHER,LOP-HOLLAND,BROWN,Unknown,SMALL,,K18-029825,CS06,A375938,09/11/2018,09/22/2018,11,STRAY,FIELD,TRANSFER,SAVEABUNNY,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,COUNTY,94941,"94941(37.896402, -122.547447)",1,1838
THRASHER,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,03/30/2012,K19-031821,CS05,A385902,03/30/2019,,0,CONFISCATE,FLD_CORONR,,,TREATABLE/REHAB,,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1,26076
COBRA,DOG,PIT BULL,BLACK/WHITE,Neutered,MED,11/11/2013,K16-017863,DQ112,A316720,02/21/2016,02/24/2016,3,CONFISCATE,FLD_ARREST,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1,26080
COOKIE,DOG,CHIHUAHUA SH,BROWN,Spayed,SMALL,09/23/2016,K17-025458,DS52,A361226,09/23/2017,09/26/2017,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1,26075
MOE,CAT,DOMESTIC SH,WHITE/GRAY,Neutered,SMALL,09/03/2010,K14-010599,TRUCK,A311104,09/03/2014,09/03/2014,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1,26079
WILLIE,DOG,BORDER COLLIE,WHITE/RED,Neutered,LARGE,12/20/2017,K18-030798,DA25,A381630,12/04/2018,01/10/2019,37,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
*TUI,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,04/26/2015,K15-014186,LOBBY,A322483,05/28/2015,06/19/2015,22,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1,26080
BABY,DOG,PIT BULL,BLACK,Spayed,MED,,K17-023279,DS67,A351441,04/27/2017,04/28/2017,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1,26080
*LEX,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,KITTN,07/12/2017,K17-025280,LOBBY,A360829,09/12/2017,09/16/2017,4,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95412,"95412(38.705157, -123.351858)",1,23494
*AMY,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/01/2016,K16-020387,CS04,A341223,08/19/2016,08/26/2016,7,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1,31016
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,KITTN,,K16-020175,CS06,A340634,08/06/2016,08/09/2016,3,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,02/21/2013,K15-012860,CS06,A316968,02/21/2015,03/05/2015,12,CONFISCATE,FLD_CORONR,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,DOG,PIT BULL,TAN/WHITE,Female,MED,02/11/2018,K18-029834,DS58,A375953,09/11/2018,09/21/2018,10,STRAY,OVER THE COUNTER,TRANSFER,HSSC,HEALTHY,HEALTHY,WINDSOR,COUNTY,95407,"95407(38.403734, -122.736775)",1,26079
MS TIGER,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,08/30/2018,K18-030497,CA03,A379295,11/03/2018,12/01/2018,28,STRAY,OVER THE COUNTER,ADOPTION,VOLUNTEER,TREATABLE/REHAB,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
CARSON,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,12/07/2004,K17-026588,SMM,A365351,12/07/2017,12/07/2017,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1,26080
MONEY,DOG,AM PIT BULL TER,FAWN,Female,LARGE,10/17/2008,K15-012722,DS75,A231627,02/07/2015,02/14/2015,7,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
MOCHI,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,03/02/2009,K15-013449,LOBBY,A316619,04/04/2015,04/07/2015,3,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1,26075
ROCKY,DOG,PIT BULL,BLUE,Neutered,LARGE,07/29/2017,K19-031196,CS04,A383078,01/14/2019,03/05/2019,50,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,TREATABLE/REHAB,SANTA ROSA,COUNTY,95465,"95465(38.406591, -123.001365)",1,31032
BUTCH,DOG,RAT TERRIER,WHITE/TRICOLOR,Neutered,SMALL,10/05/2008,K14-008069,TX,A303954,03/14/2014,04/05/2014,22,TRANSFER,PRIV_SHELT,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
*BART,DOG,QUEENSLAND HEEL/MIX,BROWN/WHITE,Neutered,MED,09/25/2018,K19-031563,DA05,A384624,02/28/2019,04/10/2019,41,CONFISCATE,FLD_EVICT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95482,"95482(39.150868, -123.215335)",1,31041
SUKI,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,09/05/2011,K14-010640,TX,A311230,09/05/2014,09/06/2014,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.491884, -122.90672)",1,23747
*EDDY,DOG,PARSON RUSS TER/CHIHUAHUA SH,GOLD/WHITE,Neutered,TOY,04/26/2014,K14-010271,DA02,A310120,08/13/2014,08/27/2014,14,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,OUT OF COUNTY,94515,"94515(38.596259, -122.603413)",1,574
*DOROTHY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,04/07/2016,K16-019171,LOBBY,A338002,06/04/2016,07/13/2016,39,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1,26076
IZZIE,DOG,AUST CATTLE DOG/MIX,TAN/WHITE,Spayed,SMALL,08/04/2014,K16-017525,DA22,A332254,01/20/2016,02/16/2016,27,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
ZOE,CAT,DOMESTIC LH,SEAL PT,Spayed,SMALL,,K15-015106,CA02,A324687,07/28/2015,07/30/2015,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95492,"95492(38.541541, -122.809202)",1,31428
SAILOR,DOG,SCOT TERRIER,BLACK,Neutered,MED,12/17/2005,K14-008887,DA43,A257582,05/19/2014,06/19/2014,31,TRANSFER,VET_HOSP,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,OUT OF COUNTY,94583,"94583(37.755754, -121.963415)",1,1174
BONE,DOG,PIT BULL,BLUE,Female,MED,05/02/2013,K14-008698,DS64,A306171,05/02/2014,05/03/2014,1,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
ACE,DOG,LABRADOR RETR,YELLOW,Neutered,LARGE,10/27/2009,K17-026057,DS82,A363712,10/26/2017,10/27/2017,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
BEL,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,MED,07/22/2012,K14-009921,DA28,A309290,07/22/2014,08/16/2014,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1,31039
*GUS,DOG,CAIRN TERRIER/MIX,TAN,Neutered,SMALL,09/15/2012,K15-015847,DA48,A326737,09/08/2015,09/19/2015,11,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,UNKNOWN,OUT OF COUNTY,95050,"95050(37.348906, -121.953709)",1,11495
GREY,DOG,BORDER COLLIE/MIX,BLACK/WHITE,Neutered,PUPPY,11/08/2017,K18-027017,DA10,A366887,01/17/2018,02/10/2018,24,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1,26080
*SEAN,CAT,DOMESTIC MH,BRN TABBY,Neutered,KITTN,04/11/2014,K14-009262,LOBBY,A307892,06/11/2014,07/05/2014,24,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
BUDDY,DOG,ROTTWEILER,BLACK/TAN,Male,LARGE,,K16-021792,DQ110,A345847,12/06/2016,12/13/2016,7,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1,26078
BRISA,DOG,CHIHUAHUA SH,TAN,Spayed,TOY,01/10/2014,K17-022088,DA06,A346894,01/03/2017,01/12/2017,9,STRAY,FIELD,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
*GINNY,DOG,LABRADOR RETR/MIX,BLACK,Spayed,LARGE,07/11/2015,K16-018711,DA15,A336557,05/04/2016,05/16/2016,12,STRAY,FIELD,TRANSFER,GREEN DOG,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
*NAOMI,CAT,DOMESTIC MH,BLACK/BROWN,Spayed,SMALL,08/13/2013,K15-014647,CS05,A323298,06/26/2015,08/28/2015,63,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1,26080
,OTHER,RABBIT SH,WHITE/BLACK,Male,SMALL,,K19-031693,CS06,A383074,03/14/2019,04/11/2019,28,STRAY,OVER THE COUNTER,TRANSFER,RP SHELTER,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1,1829
TIGER,CAT,DOMESTIC SH,BUFF,Male,SMALL,10/23/2017,K19-031996,CS05,A386323,04/19/2019,04/29/2019,10,CONFISCATE,FLD_ARREST,TRANSFER,ARF,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,94598,"94598(37.916331, -122.020165)",1,1186
,DOG,CHIHUAHUA SH,WHITE,Male,SMALL,,K18-030205,DS91,A377558,10/12/2018,10/27/2018,15,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,PENDING,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1,26079
